card_number,card_holder_first_name,card_holder_last_name,card_types,card_cvv,card_expiry_date,customer_id
5048374486729100,Reuven,Lindenbaum,Visa,630,02/04/2028,C059
5048379859950180,Reuven,Lindenbaum,MasterCard,691,22/02/2026,C059
5108756357837750,Reuven,Lindenbaum,Visa,148,16/12/2024,C059
5108759361326310,Drucie,Scini,Visa,101,26/03/2027,C060
5108759895176250,Drucie,Scini,Visa,349,10/02/2025,C060
5108754432165170,Drucie,Scini,Visa,701,01/09/2024,C060
5048375733053970,Drucie,Scini,Visa,279,01/04/2025,C060
5108751564516120,Kathi,Miles,Visa,772,31/03/2026,C061
5048373134084450,Kathi,Miles,MasterCard,477,26/12/2028,C061
5108757715907160,Kathi,Miles,Visa,259,07/07/2025,C061
5108753797102990,Kathi,Miles,Visa,110,01/03/2025,C061
5048375047668200,Esmaria,Dunbabin,MasterCard,732,16/06/2025,C062
5048370754476270,Esmaria,Dunbabin,Visa,395,21/02/2029,C062
5108754691651740,Esmaria,Dunbabin,MasterCard,654,18/02/2026,C062
5048374148937450,Esmaria,Dunbabin,MasterCard,441,14/04/2024,C062
5048375789648560,Ranice,Enterle,Visa,581,22/05/2028,C063
5048375552195480,Ranice,Enterle,MasterCard,329,23/07/2028,C063
5048374607575940,Ranice,Enterle,MasterCard,935,22/05/2025,C063
5108757077245290,Ranice,Enterle,Visa,555,06/07/2027,C063
5048378301210860,Porty,Barwise,MasterCard,760,14/03/2024,C064
5048370333214680,Porty,Barwise,Visa,335,26/06/2026,C064
5048373974005420,Porty,Barwise,MasterCard,181,01/08/2024,C064
5048371526856970,Porty,Barwise,MasterCard,282,07/08/2024,C064
5048372441439180,Lorne,Baylie,Visa,663,03/08/2027,C065
5048370671692470,Lorne,Baylie,Visa,454,12/11/2028,C065
5048377123143440,Lorne,Baylie,MasterCard,932,31/03/2027,C065
5108759218323810,Lorne,Baylie,MasterCard,629,27/03/2027,C065
5048370030516130,Perla,Flann,MasterCard,145,01/08/2027,C066
5048378390758470,Perla,Flann,Visa,109,15/07/2024,C066
5108751616556040,Perla,Flann,MasterCard,766,31/01/2026,C066
5108754568972500,Perla,Flann,MasterCard,511,20/04/2024,C066
5108752841950270,Gillie,Unwins,MasterCard,724,30/12/2027,C067
5048378915304520,Gillie,Unwins,MasterCard,861,29/09/2027,C067
5048371897158110,Gillie,Unwins,MasterCard,617,29/04/2024,C067
5048378209603630,Gillie,Unwins,Visa,258,05/11/2025,C067
5108751912023980,Brendis,Ardron,MasterCard,252,24/12/2027,C068
5108751818450790,Brendis,Ardron,Visa,186,06/01/2027,C068
5108751573913970,Brendis,Ardron,Visa,389,06/02/2029,C068
5108752687104020,Brendis,Ardron,Visa,616,08/03/2026,C068
5048371977274190,Benedicta,Feyer,MasterCard,130,11/10/2028,C069
5108751174577670,Benedicta,Feyer,Visa,655,18/01/2028,C069
5108750931251110,Benedicta,Feyer,MasterCard,325,04/09/2026,C069
5048379488143140,Benedicta,Feyer,MasterCard,413,09/02/2029,C069
5048372587962150,Barri,Lawlance,Visa,306,15/06/2027,C070
5048378646541380,Barri,Lawlance,Visa,665,24/06/2025,C070
5048377846221090,Barri,Lawlance,Visa,731,29/03/2024,C070
5048372029124010,Barri,Lawlance,MasterCard,234,01/06/2024,C070
5108758453712540,Martie,Peasby,MasterCard,883,15/02/2028,C071
5108758177581070,Martie,Peasby,MasterCard,858,04/02/2025,C071
5048372817655300,Martie,Peasby,Visa,462,31/07/2023,C071
5048378593411360,Martie,Peasby,Visa,598,03/12/2027,C071
5048373478601710,Miquela,Inskipp,Visa,226,24/11/2028,C072
5048374032670360,Miquela,Inskipp,MasterCard,655,04/08/2027,C072
5108757560069760,Miquela,Inskipp,Visa,178,18/06/2027,C072
5108756700443910,Miquela,Inskipp,MasterCard,103,18/04/2028,C072
5048379257749680,Beatriz,Ismay,MasterCard,519,21/01/2024,C073
5108758279580220,Beatriz,Ismay,Visa,272,09/03/2028,C073
5108756562579620,Beatriz,Ismay,Visa,661,12/04/2024,C073
5048377094255960,Beatriz,Ismay,Visa,294,13/03/2024,C073
5048370255304960,Ulberto,Stendell,MasterCard,876,21/01/2026,C074
5048374299591140,Ulberto,Stendell,Visa,222,04/01/2026,C074
5108755542851950,Ulberto,Stendell,Visa,545,29/04/2025,C074
5048376416650630,Ulberto,Stendell,Visa,756,05/07/2025,C074
5108756804051500,Vale,Ripon,MasterCard,598,28/01/2029,C075
5108758615658420,Vale,Ripon,MasterCard,431,08/04/2024,C075
5048370896526030,Vale,Ripon,Visa,869,30/10/2027,C075
5108758128707070,Vale,Ripon,MasterCard,738,06/12/2025,C075
5048377579761100,Mason,Gladdish,MasterCard,140,29/09/2023,C076
5108756063397340,Mason,Gladdish,MasterCard,609,24/05/2024,C076
5108754966474750,Mason,Gladdish,Visa,466,14/08/2028,C076
5108757135612880,Mason,Gladdish,Visa,273,06/09/2026,C076
5108753715509490,Axel,Loxton,Visa,418,17/04/2025,C077
5108755668263990,Axel,Loxton,Visa,129,11/12/2028,C077
5108752562263140,Axel,Loxton,Visa,667,07/04/2027,C077
5048372141701090,Axel,Loxton,Visa,300,26/09/2026,C077
5108751740402600,Reggie,Drable,Visa,390,09/03/2029,C078
5048372711250870,Reggie,Drable,MasterCard,930,05/10/2024,C078
5048378580985870,Reggie,Drable,MasterCard,114,21/02/2027,C078
5108757296051650,Reggie,Drable,Visa,285,30/08/2024,C078
5108753033999510,Raymond,Peek,MasterCard,107,04/01/2025,C079
5108750032103990,Raymond,Peek,MasterCard,598,07/02/2028,C079
5048371711242370,Raymond,Peek,Visa,991,13/11/2027,C079
5108752405020760,Raymond,Peek,Visa,394,27/05/2027,C079
5108759573483110,Gan,Bill,Visa,132,07/12/2026,C080
5108756326089950,Gan,Bill,Visa,800,25/10/2027,C080
5108753257902230,Gan,Bill,MasterCard,146,09/09/2026,C080
5108754544078650,Gan,Bill,MasterCard,661,09/07/2028,C080
5048373295861540,Wenda,Addicote,Visa,674,26/09/2026,C081
5048379190907920,Wenda,Addicote,MasterCard,840,05/04/2028,C081
5048376476270650,Wenda,Addicote,MasterCard,347,25/04/2025,C081
5048376305753700,Wenda,Addicote,Visa,980,06/03/2024,C081
5108756094064390,Deonne,Delahunt,Visa,781,14/10/2023,C082
5048373263634460,Deonne,Delahunt,MasterCard,315,29/03/2026,C082
5048375085214640,Deonne,Delahunt,Visa,366,01/06/2024,C082
5048373629786590,Deonne,Delahunt,MasterCard,619,24/06/2024,C082
5108758724094850,Spense,Bilham,MasterCard,763,19/06/2027,C083
5048371026686180,Spense,Bilham,Visa,476,24/04/2028,C083
5048379094759650,Spense,Bilham,MasterCard,413,16/11/2024,C083
5108757489265170,Spense,Bilham,MasterCard,796,24/04/2027,C083
5048373745254310,Ferris,Judron,Visa,431,04/04/2024,C084
5048375655726560,Ferris,Judron,Visa,157,25/10/2028,C084
5048374118106400,Ferris,Judron,MasterCard,294,28/05/2024,C084
5048377847552790,Ferris,Judron,Visa,762,11/08/2023,C084
5108759147886910,Biron,Dorton,MasterCard,524,24/02/2024,C085
5048376310322880,Biron,Dorton,Visa,270,14/03/2027,C085
5048373091602160,Biron,Dorton,MasterCard,578,07/04/2027,C085
5108751177575810,Biron,Dorton,MasterCard,775,12/05/2027,C085
5048375454657350,Arda,Mearing,Visa,211,04/03/2028,C086
5108753854163760,Arda,Mearing,Visa,422,27/02/2026,C086
5108753690957290,Arda,Mearing,Visa,474,21/10/2023,C086
5048376972484700,Arda,Mearing,Visa,607,07/04/2027,C086
5048377425648890,Kitti,Timmes,Visa,789,20/03/2028,C087
5108752024395330,Kitti,Timmes,Visa,869,19/08/2023,C087
5048378128377160,Kitti,Timmes,MasterCard,256,08/09/2024,C087
5048371185660700,Kitti,Timmes,MasterCard,282,25/05/2025,C087
5108752417045500,Glynn,Dragon,Visa,372,18/05/2028,C088
5108757783615020,Glynn,Dragon,Visa,836,18/05/2025,C088
5048370351993040,Glynn,Dragon,MasterCard,548,27/01/2029,C088
5108759894129650,Glynn,Dragon,Visa,181,15/07/2027,C088
5048376571785530,Ewart,Brenston,Visa,388,09/01/2025,C089
5108757442490050,Ewart,Brenston,MasterCard,686,30/09/2025,C089
5108758569247640,Ewart,Brenston,Visa,905,25/06/2028,C089
5048374420530950,Ewart,Brenston,Visa,590,26/12/2028,C089
5048371177110420,Nananne,Jewer,Visa,270,18/05/2025,C090
5048375386895300,Nananne,Jewer,MasterCard,307,06/10/2023,C090
5108755831392930,Nananne,Jewer,Visa,291,17/01/2025,C090
5048373376900300,Nananne,Jewer,Visa,173,16/07/2024,C090
5108750058478280,Maddie,Bustard,MasterCard,897,12/02/2029,C091
5108751698488460,Maddie,Bustard,Visa,677,27/01/2024,C091
5108750744580020,Maddie,Bustard,Visa,423,19/12/2026,C091
5108754257180600,Maddie,Bustard,Visa,781,22/03/2028,C091
5048371554381820,Alyda,Widdowes,Visa,472,16/12/2028,C092
5108757263296960,Alyda,Widdowes,MasterCard,172,11/07/2024,C092
5048378630334290,Alyda,Widdowes,Visa,557,17/09/2028,C092
5108750306284190,Alyda,Widdowes,Visa,911,09/11/2026,C092
5048372439827400,Stanleigh,Tythacott,Visa,162,25/08/2024,C093
5108751721399330,Stanleigh,Tythacott,MasterCard,431,25/11/2025,C093
5108754820593530,Stanleigh,Tythacott,Visa,233,08/04/2027,C093
5108750043782040,Stanleigh,Tythacott,MasterCard,644,18/02/2026,C093
5108754309489810,Budd,Harrold,Visa,288,24/10/2024,C094
5108755970066730,Budd,Harrold,Visa,600,24/04/2024,C094
5108751940297360,Budd,Harrold,Visa,477,26/06/2028,C094
5048379120928970,Budd,Harrold,Visa,789,24/03/2026,C094
5048371854947530,Nelie,Ferschke,Visa,168,18/01/2025,C095
5048378990118970,Nelie,Ferschke,Visa,915,29/10/2028,C095
5048372376854000,Nelie,Ferschke,Visa,230,18/11/2025,C095
5048374169615230,Nelie,Ferschke,Visa,151,22/07/2026,C095
5048372960181250,Jenifer,Widdowfield,MasterCard,615,11/01/2025,C096
5048376615254120,Jenifer,Widdowfield,MasterCard,294,24/09/2028,C096
5048375923784680,Jenifer,Widdowfield,Visa,451,14/12/2027,C096
5048370204161900,Jenifer,Widdowfield,Visa,239,13/11/2028,C096
5048374130276330,Desirae,Joice,Visa,561,22/10/2026,C097
5108753906502870,Desirae,Joice,Visa,190,09/06/2024,C097
5048373756506710,Desirae,Joice,Visa,160,13/04/2026,C097
5108757396860850,Desirae,Joice,MasterCard,285,06/05/2025,C097
5108755788938660,Gilbertine,Branwhite,Visa,173,17/09/2027,C098
5048376770281330,Gilbertine,Branwhite,MasterCard,274,14/02/2025,C098
5108759659583920,Gilbertine,Branwhite,Visa,784,06/06/2025,C098
5048372658800110,Gilbertine,Branwhite,Visa,909,21/12/2028,C098
5108756577271510,Freeland,Gothard,Visa,998,05/05/2026,C099
5108750898020730,Freeland,Gothard,Visa,205,25/02/2024,C099
5108752691310950,Freeland,Gothard,MasterCard,499,06/11/2027,C099
5108751605451360,Freeland,Gothard,MasterCard,455,27/06/2027,C099
5048379630749960,Clem,Chant,Visa,277,23/06/2024,C100
5108754729463890,Clem,Chant,Visa,100,22/07/2027,C100
5048376978368600,Clem,Chant,MasterCard,738,13/05/2025,C100
5048372818430820,Clem,Chant,Visa,830,19/10/2024,C100
5048375865632790,Caldwell,Cutajar,Visa,670,19/06/2024,C101
5108752724503370,Caldwell,Cutajar,MasterCard,512,28/02/2024,C101
5108754781772090,Caldwell,Cutajar,Visa,187,19/03/2027,C101
5108753598289170,Richardo,Bingall,Visa,624,15/12/2027,C102
5108758041724030,Richardo,Bingall,Visa,777,18/03/2028,C102
5108752554332090,Richardo,Bingall,Visa,851,28/05/2026,C102
5048375571631660,Noami,Fiddymont,Visa,621,15/01/2027,C103
5048371541090530,Noami,Fiddymont,Visa,121,26/04/2028,C103
5108758685037130,Noami,Fiddymont,MasterCard,125,03/05/2027,C103
5108750612885290,Dom,Need,MasterCard,544,26/09/2028,C104
5048370010799650,Dom,Need,Visa,489,03/12/2028,C104
5048378937709290,Dom,Need,Visa,337,10/12/2026,C104
5048376546197600,Beale,Vondrys,MasterCard,936,30/04/2024,C105
5048371732250000,Beale,Vondrys,MasterCard,330,19/06/2027,C105
5048379974419370,Beale,Vondrys,Visa,710,19/06/2028,C105
5108757922671880,Chaim,Muslim,Visa,726,16/09/2023,C106
5048374985858280,Chaim,Muslim,Visa,808,29/11/2025,C106
5048370888770920,Chaim,Muslim,MasterCard,758,08/05/2028,C106
5048373337221350,Sibyl,Wesgate,Visa,383,31/12/2023,C107
5108751140617520,Sibyl,Wesgate,Visa,840,16/11/2025,C107
5048371635747930,Sibyl,Wesgate,MasterCard,387,22/02/2028,C107
5108753995279930,Tymothy,Ceeley,Visa,766,07/10/2024,C108
5108751475112430,Tymothy,Ceeley,Visa,177,18/10/2028,C108
5048371798886140,Tymothy,Ceeley,MasterCard,370,30/06/2025,C108
5108753095929860,Abigail,Sabates,Visa,718,03/07/2024,C109
5108756042729300,Abigail,Sabates,MasterCard,976,17/06/2025,C109
5108753687082160,Abigail,Sabates,MasterCard,634,13/01/2024,C109
5048375778388520,Melita,Middlemiss,Visa,349,14/05/2026,C110
5048373335238050,Melita,Middlemiss,Visa,670,12/08/2024,C110
5108752151970120,Melita,Middlemiss,Visa,977,31/01/2029,C110
5108754925405370,Sigrid,Danzig,Visa,677,29/08/2026,C111
5048374570371710,Sigrid,Danzig,MasterCard,352,01/01/2025,C111
5108759417902910,Sigrid,Danzig,Visa,906,13/01/2025,C111
5048375075443500,Yank,Scutching,Visa,257,16/06/2024,C112
5108753549971730,Yank,Scutching,Visa,313,17/09/2023,C112
5108756062988290,Yank,Scutching,MasterCard,411,18/03/2027,C112
5108754644175240,Sofie,Hakonsen,MasterCard,506,29/11/2028,C113
5048377317704020,Sofie,Hakonsen,Visa,653,09/01/2025,C113
5048373982531870,Sofie,Hakonsen,Visa,841,27/07/2027,C113
5108758240091760,Eva,Quig,MasterCard,751,12/08/2028,C114
5048374945791510,Eva,Quig,MasterCard,359,06/07/2026,C114
5108755598795390,Eva,Quig,Visa,599,06/03/2025,C114
5048373100714060,Skell,Yuryichev,Visa,189,21/11/2026,C115
5048379245474550,Skell,Yuryichev,MasterCard,765,20/03/2027,C115
5108755468119750,Skell,Yuryichev,Visa,912,08/07/2027,C115
5048379253876940,Fitz,Luney,MasterCard,171,06/11/2023,C116
5048372668046610,Fitz,Luney,Visa,614,18/03/2026,C116
5048379579377780,Fitz,Luney,Visa,455,26/02/2029,C116
5048374910771320,Malchy,De Carlo,Visa,678,05/10/2025,C117
5108751823381580,Malchy,De Carlo,Visa,308,29/06/2025,C117
5108755583746610,Malchy,De Carlo,Visa,148,15/03/2024,C117
5048375200951310,Archibold,Pavia,Visa,112,01/11/2028,C118
5048373200315750,Archibold,Pavia,MasterCard,486,29/08/2025,C118
5048371274967470,Archibold,Pavia,Visa,572,26/10/2023,C118
5048375166881440,Rice,Duffet,MasterCard,821,17/01/2029,C119
5108758873660850,Rice,Duffet,Visa,108,24/08/2026,C119
5048379932807160,Rice,Duffet,Visa,950,02/08/2028,C119
5048373309261870,Mischa,Moggle,Visa,650,30/03/2025,C120
5108750126637250,Mischa,Moggle,Visa,332,11/11/2027,C120
5108753657455730,Mischa,Moggle,Visa,655,06/01/2027,C120
5108759634972760,Derry,Yannoni,MasterCard,681,31/01/2029,C121
5108752850376620,Derry,Yannoni,MasterCard,597,20/08/2025,C121
5048373365399210,Derry,Yannoni,MasterCard,746,16/04/2026,C121
5108751382471940,Reidar,Mulvin,Visa,854,10/12/2023,C122
5108759565550720,Reidar,Mulvin,Visa,873,17/08/2024,C122
5108753374360900,Reidar,Mulvin,Visa,496,26/06/2024,C122
5048374755608880,Eleanor,Filer,Visa,871,23/07/2024,C123
5108754211285900,Eleanor,Filer,Visa,427,22/02/2027,C123
5048378534239060,Eleanor,Filer,MasterCard,692,17/04/2028,C123
5108758560359540,Pip,Stanyer,MasterCard,150,28/04/2024,C124
5108756334750600,Pip,Stanyer,Visa,220,07/02/2024,C124
5108755813504340,Pip,Stanyer,Visa,229,05/06/2027,C124
5048377503257370,Saraann,Duffet,Visa,899,11/11/2028,C125
5108753746378680,Saraann,Duffet,MasterCard,294,08/02/2025,C125
5108755707939870,Saraann,Duffet,Visa,508,07/05/2028,C125
5048375844959160,Ivett,Duhig,MasterCard,632,21/03/2027,C126
5108756455244430,Ivett,Duhig,Visa,778,01/12/2026,C126
5108752946127490,Ivett,Duhig,Visa,118,12/06/2025,C126
5108755982257060,Saul,Robins,Visa,415,12/06/2026,C127
5048379624776940,Saul,Robins,MasterCard,448,08/03/2025,C127
5108756093203840,Saul,Robins,Visa,220,02/12/2023,C127
5048374157385640,Cass,Middleweek,Visa,409,22/07/2027,C128
5048379634309640,Cass,Middleweek,MasterCard,533,29/04/2026,C128
5108752747012160,Cass,Middleweek,MasterCard,288,31/10/2025,C128
5048375823484430,Luce,Gricks,Visa,218,11/09/2026,C129
5048375524306670,Luce,Gricks,MasterCard,700,17/10/2026,C129
5108753451657120,Luce,Gricks,MasterCard,749,01/06/2025,C129
5048370605357200,Osborn,Bisco,MasterCard,385,18/11/2027,C130
5048370009840410,Osborn,Bisco,Visa,779,17/12/2023,C130
5048373078861830,Osborn,Bisco,Visa,604,27/06/2027,C130
5048372958590630,Bonni,Averies,Visa,573,29/11/2024,C131
5108755815263900,Bonni,Averies,MasterCard,479,07/03/2024,C131
5108750893872220,Bonni,Averies,Visa,317,29/02/2028,C131
5108756398491250,Artemis,Huccaby,Visa,633,18/08/2026,C132
5048372176265030,Artemis,Huccaby,Visa,877,10/07/2027,C132
5048373530321190,Artemis,Huccaby,MasterCard,258,21/02/2027,C132
5108754352354120,Lindsay,Gossington,MasterCard,701,17/12/2026,C133
5048378967751100,Lindsay,Gossington,Visa,866,21/01/2026,C133
5108752321700930,Lindsay,Gossington,Visa,762,23/09/2026,C133
5108752870591960,Reinwald,Gartan,MasterCard,371,22/10/2026,C134
5048373171371340,Reinwald,Gartan,MasterCard,659,23/09/2024,C134
5108753198762500,Reinwald,Gartan,MasterCard,627,11/01/2029,C134
5048372177570590,Nerti,Channing,MasterCard,925,12/01/2027,C135
5048375940736760,Nerti,Channing,Visa,228,20/05/2028,C135
5048377593466590,Nerti,Channing,Visa,466,05/01/2029,C135
5108754322611500,Judy,Wherry,Visa,772,01/05/2026,C136
5048372398694320,Judy,Wherry,MasterCard,497,20/09/2024,C136
5108752207295250,Judy,Wherry,MasterCard,932,14/07/2024,C136
5108759647463910,Sayre,Tomkinson,Visa,928,31/07/2024,C137
5048377840122010,Sayre,Tomkinson,Visa,782,16/06/2024,C137
5048376830992510,Sayre,Tomkinson,Visa,560,11/08/2026,C137
5108756690743940,Winfred,Hugo,MasterCard,781,27/04/2026,C138
5048373536867140,Winfred,Hugo,MasterCard,504,21/04/2025,C138
5048370099143340,Winfred,Hugo,Visa,289,25/02/2026,C138
5108755006251660,Bettye,Cheltnam,MasterCard,350,02/03/2028,C139
5108754568582480,Bettye,Cheltnam,MasterCard,556,11/05/2027,C139
5048371319078490,Bettye,Cheltnam,Visa,892,16/02/2029,C139
5108755256513610,Renault,Moberley,Visa,122,19/08/2025,C140
5048372234144780,Renault,Moberley,Visa,609,21/09/2028,C140
5048374787153980,Renault,Moberley,Visa,667,26/08/2023,C140
5108756737281820,Aimee,Keeley,MasterCard,128,21/02/2028,C141
5108759882001210,Aimee,Keeley,Visa,136,21/01/2029,C141
5108751426654720,Aimee,Keeley,Visa,550,10/01/2028,C141
5108754474918090,Bartholemy,Curthoys,Visa,108,28/08/2027,C142
5048375846296030,Bartholemy,Curthoys,MasterCard,931,31/10/2027,C142
5048371732767020,Bartholemy,Curthoys,Visa,443,30/06/2024,C142
5048376540312580,Trisha,Wildor,Visa,781,31/01/2024,C143
5048373906007030,Trisha,Wildor,MasterCard,100,05/01/2025,C143
5108759130352760,Trisha,Wildor,MasterCard,322,04/07/2027,C143
5108757717646290,Constantine,De Lisle,Visa,550,08/04/2026,C144
5108756765880680,Constantine,De Lisle,Visa,858,22/05/2026,C144
5048376543691640,Constantine,De Lisle,Visa,226,12/01/2024,C144
5048375097503310,Garek,Boydon,MasterCard,487,13/05/2025,C145
5048378762093690,Garek,Boydon,MasterCard,370,04/03/2025,C145
5048372081951620,Garek,Boydon,Visa,184,18/07/2024,C145
5048374802673950,Judas,Kiss,Visa,655,08/08/2027,C146
5048377173910050,Judas,Kiss,MasterCard,290,12/01/2025,C146
5048376488116540,Judas,Kiss,MasterCard,473,14/01/2024,C146
5108756054149210,Daloris,Spearman,MasterCard,579,20/07/2028,C147
5108754422638480,Daloris,Spearman,MasterCard,417,26/12/2023,C147
5108753471651070,Daloris,Spearman,Visa,419,05/09/2025,C147
5048373474343670,Claudelle,Highway,MasterCard,632,24/05/2024,C148
5108750453677920,Claudelle,Highway,MasterCard,369,08/06/2025,C148
5108757041516700,Claudelle,Highway,MasterCard,588,03/03/2027,C148
5048373059283950,Mortimer,Parchment,Visa,447,02/11/2023,C149
5108756197341360,Mortimer,Parchment,Visa,337,16/03/2027,C149
5108756358584240,Mortimer,Parchment,MasterCard,364,25/06/2024,C149
5048379641747950,Berky,Skoyles,MasterCard,244,02/04/2027,C150
5108758851850850,Berky,Skoyles,Visa,291,01/11/2023,C150
5108755407469630,Berky,Skoyles,Visa,690,11/12/2023,C150
5108754907099800,Nikolos,Grunguer,Visa,804,28/03/2024,C151
5048374497400840,Nikolos,Grunguer,MasterCard,334,22/07/2024,C151
5048379040361950,Nikolos,Grunguer,Visa,331,05/12/2027,C151
5048378286881650,Danette,Dicker,Visa,718,08/05/2026,C152
5108753229934170,Danette,Dicker,Visa,799,09/11/2027,C152
5108758778680620,Danette,Dicker,MasterCard,948,18/05/2024,C152
5108753598833620,York,Garritley,Visa,189,08/05/2024,C153
5108755765846690,York,Garritley,MasterCard,473,11/08/2023,C153
5108757074884720,York,Garritley,Visa,565,07/07/2028,C153
5048376374911320,Elora,Lucien,Visa,458,15/01/2025,C154
5048378542298910,Elora,Lucien,Visa,828,11/08/2026,C154
5108754258909860,Elora,Lucien,MasterCard,874,05/12/2026,C154
5048370606596390,Odetta,Granleese,Visa,385,05/07/2025,C155
5108757695668440,Odetta,Granleese,MasterCard,899,13/05/2026,C155
5048373522703330,Odetta,Granleese,Visa,691,17/12/2023,C155
5048375957265010,Tome,Feast,Visa,696,13/08/2028,C156
5108756695905230,Tome,Feast,Visa,211,08/02/2027,C156
5108759473981910,Tome,Feast,MasterCard,510,26/05/2024,C156
5048378584106470,Sergeant,Red,Visa,183,22/12/2025,C157
5108750770574490,Sergeant,Red,MasterCard,944,26/09/2024,C157
5048379498789510,Sergeant,Red,Visa,451,11/06/2026,C157
5048373227732610,Barnett,Marthen,MasterCard,206,18/07/2025,C158
5048373756946940,Barnett,Marthen,MasterCard,109,10/06/2028,C158
5048375686343720,Barnett,Marthen,Visa,531,26/07/2027,C158
5108757660004090,Alta,Grimsdith,Visa,769,10/10/2027,C159
5048375098436510,Alta,Grimsdith,MasterCard,359,29/07/2025,C159
5048374821392190,Alta,Grimsdith,MasterCard,349,31/03/2028,C159
5048373541895960,Merry,Preto,MasterCard,112,24/07/2027,C160
5048376377520020,Merry,Preto,Visa,698,27/02/2025,C160
5108759354988270,Merry,Preto,MasterCard,276,07/02/2029,C160
5108757475108610,Cullen,Guidetti,MasterCard,333,23/06/2024,C161
5108755838137910,Cullen,Guidetti,MasterCard,847,29/08/2026,C161
5048377729842290,Cullen,Guidetti,MasterCard,807,22/12/2026,C161
5048379749370580,Nigel,Ginger,MasterCard,270,29/12/2026,C162
5048372548980020,Nigel,Ginger,MasterCard,913,04/01/2029,C162
5108752344581920,Nigel,Ginger,Visa,710,22/12/2025,C162
5048379966445290,Jessa,Longmead,Visa,155,24/08/2023,C163
5048373390651040,Jessa,Longmead,Visa,995,02/04/2028,C163
5048373299591490,Jessa,Longmead,MasterCard,652,18/12/2027,C163
5048373011630510,Aurore,Lathom,Visa,143,19/06/2024,C164
5108758306321940,Aurore,Lathom,Visa,600,04/01/2029,C164
5108756862249970,Aurore,Lathom,MasterCard,843,13/05/2025,C164
5048373151241400,Ricki,Whitfeld,Visa,677,05/05/2024,C165
5048373920345970,Ricki,Whitfeld,Visa,246,16/12/2027,C165
5108750374767490,Ricki,Whitfeld,Visa,733,28/06/2026,C165
5048371936768120,Keslie,Bernardoux,MasterCard,422,01/02/2024,C166
5108752119458800,Keslie,Bernardoux,Visa,975,25/08/2023,C166
5048378223536260,Keslie,Bernardoux,Visa,443,28/09/2025,C166
5108751131073630,Brunhilda,Rupp,Visa,105,22/10/2023,C167
5108756650020700,Brunhilda,Rupp,MasterCard,499,02/11/2025,C167
5048379751787550,Brunhilda,Rupp,MasterCard,631,23/10/2023,C167
5108754101167950,Magdalen,Estcourt,MasterCard,449,18/12/2027,C168
5048370633071570,Magdalen,Estcourt,MasterCard,701,30/12/2026,C168
5048378304817500,Magdalen,Estcourt,Visa,815,29/03/2027,C168
5048370679330250,Lowell,Ollivier,Visa,743,06/11/2025,C169
5048370927636980,Lowell,Ollivier,MasterCard,286,14/11/2025,C169
5108758128733920,Lowell,Ollivier,MasterCard,583,12/01/2025,C169
5108754259618100,Cherilynn,Gower,MasterCard,797,22/01/2024,C170
5048372063161460,Cherilynn,Gower,Visa,552,02/02/2028,C170
