order_id,order_date,order_status,recipient_first_name,recipient_last_name,recipient_phone_number,delivery_address1,delivery_address2,delivery_postcode,delivery_type,delivered_date,expected_delivery_date,delivery_instructions,voucher_id
OD035,11/04/2024,Processed,Gaye,Carass,205-321-9960,7807,Grim Road,CV11EA,Same_day,12/04/2024,12/04/2024,Deliver to service entrance,
OD038,11/04/2024,Cancelled,Beale,Vondrys,100-853-3863,6389,Emmet Lane,CV11DF,Pickup,12/04/2024,12/04/2024,,
OD039,12/04/2024,Processed,Nikolos,Grunguer,484-132-1527,5260,Charing Road,CV11AJ,Same_day,13/04/2024,13/04/2024,Apartment unit: 204,
OD040,12/04/2024,Cancelled,Ricki,Whitfeld,104-822-4290,9909,Elka Road,CV11AR,Next_Day,13/04/2024,13/04/2024,Leave in garage,
OD041,12/04/2024,Cancelled,Axel,Loxton,896-524-0368,6049,Barby Road,CV11DE,Same_day,,,,
OD042,13/04/2024,Cancelled,Nikolos,Grunguer,484-132-1527,5260,Charing Road,CV11AJ,Next_Day,14/04/2024,17/04/2024,Deliver to unit 12B,
OD043,13/04/2024,Cancelled,Mischa,Moggle,177-257-9150,7176,Granby Lane,CV17EQ,Next_Day,14/04/2024,14/04/2024,,
OD044,13/04/2024,Cancelled,Ferris,Judron,916-761-6467,9814,Messerschmidt Road,CV11AL,Pickup,14/04/2024,14/04/2024,,
OD045,13/04/2024,Cancelled,Rodolfo,Seeds,476-863-3468,6151,Tony Street,CV11EJ,Pickup,14/04/2024,14/04/2024,,
OD046,13/04/2024,Processed,Ferris,Judron,172-264-6347,8767,Melody Lane,CV11AL,Scheduled,,,,
OD047,14/04/2024,Cancelled,Gianni,Sondon,790-694-4712,4230,Glendale Lane,CV11DN,Pickup,15/04/2024,15/04/2024,,
OD050,14/04/2024,Processed,Richardo,Bingall,499-149-8146,7667, Sheridan Street,CV11AJ,Next_Day,,,,
OD051,14/04/2024,Processed,Ulberto,Stendell,563-410-8692,6801,Porter Avenue,CV11DD,Next_Day,,,,
OD052,14/04/2024,Processed,Stearn,Vickerstaff,940-452-8947,8958,Loeprich Street,CV11AR,Same_day,,,,
OD053,14/04/2024,Cancelled,Nanette,Van Bruggen,794-351-1946,3288,Muir Street,CV11DL,Pickup,15/04/2024,15/04/2024,,
OD054,14/04/2024,Cancelled,Gaye,Carass,205-321-9960,7807,Grim Road,CV11EA,Scheduled,15/04/2024,15/04/2024,Package may be left,
OD055,15/04/2024,Processed,Saul,Robins,421-197-1974,9218,Bashford Road,CV11DX,Standard,16/04/2024,16/04/2024,,
OD056,15/04/2024,Processed,Abdel,Carling,722-948-0604,4604,Superior Street,CV11AR,Next_Day,16/04/2024,16/04/2024,,
OD057,15/04/2024,Cancelled,Luce,Gricks,615-852-0597,5278,Corry Road,CV11DD,Standard,16/04/2024,16/04/2024,Call upon arrival,
OD058,16/04/2024,Processed,Petra,Baudry,607-477-0561,8272,Laurel Avenue,CV11EE,Next_Day,17/04/2024,17/04/2024,,
OD059,16/04/2024,Processed,Beatriz,Ismay,129-897-4282,9217,Texas Lane,CV11EU,Scheduled,17/04/2024,17/04/2024,Deliver to porch swing,
OD060,17/04/2024,Processed,Pepito,Phelips,120-512-6772,3475,Center Street,CV11FJ,Scheduled,18/04/2024,18/04/2024,,
OD061,17/04/2024,Cancelled,Berky,Skoyles,213-549-2983,3862,Pankratz Avenue,CV11DS,Standard,,,,
OD063,17/04/2024,Processed,Pip,Stanyer,930-424-3643,4725,Redwing Road,CV11EY,Pickup,18/04/2024,18/04/2024,Leave with front desk,
OD064,18/04/2024,Processed,Miquela,Inskipp,152-547-0566,1837,Spaight Street,CV11DX,Next_Day,,,,
OD065,18/04/2024,Cancelled,Stanleigh,Tythacott,227-129-3728,5804,Mariners Street,CV11DY,Scheduled,19/04/2024,19/04/2024,Leave in courtyard,
OD066,19/04/2024,Cancelled,Reinwald,Gartan,180-155-4937,7580,Tony Lane,CV11DX,Pickup,,,,
OD069,19/04/2024,Cancelled,Sonja,Ucchino,976-874-7468,4758,Vahlen Road,CV11DG,Standard,20/04/2024,20/04/2024,,
OD070,19/04/2024,Processed,Bettye,Cheltnam,605-842-7403,6830,Blue Road,CV11EE,Standard,20/04/2024,20/04/2024,,
OD071,19/04/2024,Processed,Sonja,Ucchino,130-822-9214,4309,Troy Avenue,CV11EJ,Next_Day,20/04/2024,20/04/2024,,
OD072,19/04/2024,Processed,Mason,Gladdish,895-286-9530,6335,American Road,CV11EJ,Standard,20/04/2024,21/04/2024,,
OD073,20/04/2024,Cancelled,Kathi,Miles,350-989-5311,7383,Waxwing Street,CV11AJ,Same_day,21/04/2024,21/04/2024,,
OD074,20/04/2024,Cancelled,Monica,Brabham,173-864-0677,8146,Pond Street,CV11EE,Same_day,21/04/2024,21/04/2024,,
OD075,20/04/2024,Processed,Raymond,Peek,821-143-7416,5162,Elka Avenue,CV11EJ,Pickup,,,,
OD076,20/04/2024,Cancelled,Moselle,Gemnett,410-339-4542,4556,Declaration Road,CV11DS,Pickup,21/04/2024,21/04/2024,,
OD077,20/04/2024,Processed,Biron,Dorton,982-435-9949,8544,Rieder Lane,CV11EE,Pickup,21/04/2024,21/04/2024,,
OD078,21/04/2024,Cancelled,Derry,Yannoni,526-982-9303,3151,Toban Street,CV11FL,Next_Day,22/04/2024,22/04/2024,Deliver to dock 7,V1013
OD079,21/04/2024,Processed,Corly,Grattan,685-698-4205,3032,Maywood Lane,CV11FE,Same_day,22/04/2024,22/04/2024,,V1013
OD080,21/04/2024,Cancelled,Jenifer,Widdowfield,676-473-9225,7055,Barby Road,CV11FN,Same_day,22/04/2024,22/04/2024,,V1013
OD081,21/04/2024,Processed,Herminia,Henner,260-736-2641,7968,Village Lane,CV11DG,Next_Day,22/04/2024,25/04/2024,Deliver to front office,V1013
OD082,22/04/2024,Processed,Barnett,Marthen,177-765-1996,2742,Hoard Street,CV11EJ,Scheduled,,,,V1013
OD083,22/04/2024,Cancelled,Carlie,Trewhitt,165-159-4784,3345,Armistice Lane,CV11DG,Same_day,23/04/2024,23/04/2024,Leave at the clubhouse,V1013
OD084,22/04/2024,Processed,Bren,Bugbee,937-109-7307,7957,Village Lane,CV11ET,Next_Day,23/04/2024,23/04/2024,,V1013
OD085,22/04/2024,Processed,Ewart,Brenston,504-968-8448,4991,Macpherson Avenue,CV11AJ,Next_Day,23/04/2024,23/04/2024,Deliver to reception,V1013
OD086,23/04/2024,Cancelled,Benedicta,Feyer,799-378-7614,9018,Thackeray Avenue,CV11EU,Standard,24/04/2024,24/04/2024,,V1013
OD087,23/04/2024,Processed,Beatriz,Ismay,129-897-4282,9217,Texas Lane,CV11EU,Scheduled,24/04/2024,24/04/2024,,V1013
OD088,24/04/2024,Processed,Corly,Grattan,685-698-4205,3032,Maywood Lane,CV11FE,Next_Day,25/04/2024,25/04/2024,,
OD089,24/04/2024,Cancelled,Tome,Feast,160-212-7081,1011,Carberry Avenue,CV11EY,Pickup,25/04/2024,25/04/2024,,
OD090,24/04/2024,Cancelled,Nikolos,Grunguer,484-132-1527,5260,Charing Road,CV11AJ,Scheduled,25/04/2024,25/04/2024,,
OD091,24/04/2024,Cancelled,Stinky,Probbing,673-803-8258,8879,Glendale Lane,CV11EJ,Standard,25/04/2024,25/04/2024,Package may be left with neighbor,
OD092,25/04/2024,Processed,Shirlene,Padefield,326-564-3145,5435,Del Road,CV11DL,Standard,26/04/2024,26/04/2024,Do not knock,
OD093,25/04/2024,Processed,Ranice,Enterle,613-268-8893,4218,Butternut Street,CV11AL,Scheduled,26/04/2024,26/04/2024,Deliver after 10 AM,
OD094,25/04/2024,Cancelled,Leigh,Purshouse,264-518-0586,3215,Burrows Street,CV11EY,Same_day,26/04/2024,26/04/2024,,
OD095,26/04/2024,Processed,Kitti,Timmes,425-437-9357,4256,Bartillon Street,CV11EU,Next_Day,27/04/2024,27/04/2024,Deliver to loading ramp,
OD096,26/04/2024,Processed,Sibyl,Wesgate,114-776-8518,2246,8th Road,CV17EQ,Next_Day,27/04/2024,27/04/2024,,
OD098,26/04/2024,Processed,Ferris,Judron,172-264-6347,8767,Melody Lane,CV11AL,Same_day,27/04/2024,27/04/2024,,
OD099,26/04/2024,Cancelled,Alyda,Widdowes,533-434-7493,2405,Dunning Road,CV11FD,Same_day,27/04/2024,27/04/2024,,
OD100,26/04/2024,Cancelled,Perla,Flann,384-242-8392,6799,Corscot Street,CV11DG,Standard,27/04/2024,27/04/2024,Deliver to side entrance,
OD101,26/04/2024,Processed,Orville,Clayworth,993-890-0209,5496,Melrose Avenue,CV11FL,Pickup,27/04/2024,27/04/2024,Leave under the mat,
OD102,26/04/2024,Processed,Gianni,Sondon,790-694-4712,4230,Glendale Lane,CV11DN,Scheduled,27/04/2024,27/04/2024,,
OD103,27/04/2024,Cancelled,Danette,Dicker,110-391-2506,1206,Bowman Avenue,CV11DG,Scheduled,28/04/2024,28/04/2024,,
OD106,27/04/2024,Processed,Abdel,Carling,722-948-0604,4604,Superior Street,CV11AR,Next_Day,28/04/2024,28/04/2024,Deliver to utility room,
OD107,27/04/2024,Cancelled,Noami,Fiddymont,355-759-4055,9639,Pepper Road,CV11AJ,Standard,28/04/2024,28/04/2024,,
OD108,28/04/2024,Cancelled,Danette,Dicker,110-391-2506,1206,Bowman Avenue,CV11DG,Same_day,29/04/2024,29/04/2024,Deliver to rear entrance,
OD109,28/04/2024,Cancelled,Wenda,Addicote,805-523-5309,7930,Jenifer Lane,CV11DS,Scheduled,29/04/2024,29/04/2024,,
OD110,28/04/2024,Processed,Budd,Harrold,611-370-8155,6682,Brentwood Lane,CV11DL,Pickup,29/04/2024,29/04/2024,,
OD111,28/04/2024,Processed,Lindsay,Gossington,582-559-7035,7053,Prairieview Avenue,CV11DS,Same_day,29/04/2024,29/04/2024,,
OD112,29/04/2024,Cancelled,Keslie,Bernardoux,351-112-8055,9400,Pennsylvania Street,CV11ET,Pickup,30/04/2024,30/04/2024,,
OD113,29/04/2024,Cancelled,Gianni,Sondon,790-694-4712,4230,Glendale Lane,CV11DN,Scheduled,30/04/2024,30/04/2024,,
OD114,29/04/2024,Cancelled,Mortimer,Parchment,818-754-8792,6287,Commercial Road,CV11AN,Same_day,,,,
OD115,30/04/2024,Processed,Moselle,Gemnett,410-339-4542,4556,Declaration Road,CV11DS,Scheduled,01/05/2024,01/05/2024,,
OD116,30/04/2024,Processed,Lorne,Baylie,127-203-1139,4352,Di Road,CV11FJ,Same_day,01/05/2024,01/05/2024,Apartment complex gate code: 9876,
OD117,30/04/2024,Cancelled,Elora,Lucien,554-715-2984,4907,Warbler Road,CV11DN,Standard,01/05/2024,01/05/2024,,
OD118,30/04/2024,Processed,Vale,Ripon,416-233-4122,8186,Westerfield Avenue,CV11DN,Same_day,,,,
OD119,30/04/2024,Processed,Bonni,Averies,851-868-6354,1145,Dayton Road,CV11FD,Pickup,01/05/2024,01/05/2024,,
OD120,01/05/2024,Cancelled,Sigrid,Danzig,592-312-8948,8980,Loomis Avenue,CV11DD,Pickup,02/05/2024,02/05/2024,,
OD122,01/05/2024,Processed,Derry,Yannoni,526-982-9303,3151,Toban Street,CV11FL,Next_Day,,,,
OD123,01/05/2024,Processed,Berky,Skoyles,213-549-2983,3862,Pankratz Avenue,CV11DS,Same_day,02/05/2024,02/05/2024,,
OD124,01/05/2024,Processed,Chaim,Muslim,825-458-8484,3497,Bowman Avenue,CV11DX,Pickup,02/05/2024,02/05/2024,,
OD125,03/05/2024,Processed,Abigail,Sabates,558-961-5774,6712,Nancy Lane,CV11AP,Next_Day,04/05/2024,05/05/2024,Deliver to utility room,
OD126,03/05/2024,Processed,Saraann,Duffet,698-265-1403,5010,Elka Lane,CV11EU,Pickup,04/05/2024,04/05/2024,Leave on doorstep,
OD127,03/05/2024,Cancelled,Eleanor,Filer,538-228-4769,8475,Hagan Avenue,CV11DE,Scheduled,,,,
OD128,03/05/2024,Cancelled,Gillie,Unwins,694-892-1350,2806,Golf Lane,CV11AR,Standard,04/05/2024,05/05/2024,,
OD129,03/05/2024,Processed,Eva,Quig,152-612-2484,1480,Surrey Lane,CV11EE,Next_Day,04/05/2024,04/05/2024,,
OD131,03/05/2024,Cancelled,Andie,Botwood,568-672-7425,6438,Bultman Lane,CV12JE,Scheduled,04/05/2024,04/05/2024,Do not leave in direct sunlight,
OD132,03/05/2024,Processed,Lowell,Ollivier,657-602-3171,9259,Esker Road,CV11DX,Same_day,04/05/2024,04/05/2024,,
OD136,03/05/2024,Processed,Lowell,Ollivier,657-602-3171,9259,Esker Road,CV11DX,Same_day,04/05/2024,04/05/2024,Deliver to storage room,
OD137,03/05/2024,Processed,Archibold,Pavia,886-815-3559,5590,Bay Road,CV11DL,Same_day,04/05/2024,04/05/2024,,
OD138,04/05/2024,Processed,Stearn,Vickerstaff,940-452-8947,8958,Loeprich Street,CV11AR,Pickup,05/05/2024,05/05/2024,,
OD141,04/05/2024,Cancelled,Aurore,Lathom,505-481-3525,1035,Wayridge Avenue,CV11AR,Pickup,05/05/2024,05/05/2024,Do not deliver before 9 AM,
OD142,05/05/2024,Processed,Sayre,Tomkinson,872-734-6046,5076,Esch Lane,CV11EX,Scheduled,06/05/2024,06/05/2024,,
OD144,05/05/2024,Cancelled,Sayre,Tomkinson,872-734-6046,5076,Esch Lane,CV11EX,Same_day,06/05/2024,06/05/2024,,
OD145,05/05/2024,Processed,Daloris,Spearman,990-284-8338,2484,Mariners Road,CV11AR,Pickup,06/05/2024,06/05/2024,Deliver to shed,
OD146,06/05/2024,Processed,Deonne,Delahunt,564-726-5674,3232,East Avenue,CV11FE,Standard,07/05/2024,07/05/2024,Deliver to mail center,
OD148,06/05/2024,Cancelled,Beatriz,Ismay,129-897-4282,9217,Texas Lane,CV11EU,Standard,07/05/2024,07/05/2024,,
OD149,07/05/2024,Cancelled,Elora,Lucien,554-715-2984,4907,Warbler Road,CV11DN,Scheduled,08/05/2024,08/05/2024,Leave in back yard,
OD150,07/05/2024,Cancelled,Judy,Wherry,696-369-1964,8617,Surrey Avenue,CV11EX,Same_day,08/05/2024,08/05/2024,Leave by the mailbox,
OD151,07/05/2024,Processed,Gan,Bill,902-373-1362,3872,Sunfield Lane,CV11FJ,Standard,08/05/2024,08/05/2024,,
OD152,08/05/2024,Cancelled,Ewart,Brenston,504-968-8448,4991,Macpherson Avenue,CV11AJ,Same_day,09/05/2024,09/05/2024,,
OD153,08/05/2024,Cancelled,Rice,Duffet,706-343-8866,1084,Prentice Street,CV11EU,Standard,09/05/2024,09/05/2024,Apartment building: Cedar Ridge,
OD154,09/05/2024,Cancelled,Danette,Dicker,110-391-2506,1206,Bowman Avenue,CV11DG,Standard,,,,
OD155,09/05/2024,Processed,Nanette,Van Bruggen,794-351-1946,3288,Muir Street,CV11DL,Scheduled,10/05/2024,10/05/2024,Leave in package locker,
OD157,09/05/2024,Processed,Pepito,Phelips,120-512-6772,3475,Center Street,CV11FJ,Next_Day,10/05/2024,10/05/2024,,
OD158,09/05/2024,Cancelled,Perla,Flann,384-242-8392,6799,Corscot Street,CV11DG,Standard,10/05/2024,10/05/2024,Deliver to porch,
OD159,09/05/2024,Processed,Esmaria,Dunbabin,630-347-4356,7608,Dunning Road,CV11DL,Same_day,10/05/2024,10/05/2024,,
OD160,10/05/2024,Processed,Porty,Barwise,781-434-0761,8284,Declaration Avenue,CV11DX,Pickup,11/05/2024,11/05/2024,,
OD163,10/05/2024,Processed,Lothaire,Sieghart,981-304-9224,2943,Anzinger Avenue,CV11DN,Pickup,11/05/2024,11/05/2024,Deliver to store room,
OD164,12/05/2024,Processed,Judas,Kiss,203-405-9324,9224,Judy Lane,CV11EX,Scheduled,13/05/2024,13/05/2024,,
OD165,12/05/2024,Processed,Kitti,Timmes,425-437-9357,4256,Bartillon Street,CV11EU,Same_day,,,,
OD166,12/05/2024,Cancelled,Parrnell,Semkins,882-202-7219,4179,Tony Road,CV11DE,Standard,,,,
OD167,13/05/2024,Cancelled,Bren,Bugbee,937-109-7307,7957,Village Lane,CV11ET,Same_day,14/05/2024,14/05/2024,,
OD168,13/05/2024,Cancelled,Sibyl,Wesgate,114-776-8518,2246,8th Road,CV17EQ,Scheduled,14/05/2024,14/05/2024,Deliver to shipping department,
OD169,13/05/2024,Processed,Mischa,Moggle,177-257-9150,7176,Granby Lane,CV17EQ,Pickup,14/05/2024,14/05/2024,,
OD170,14/05/2024,Cancelled,Melita,Middlemiss,770-223-5713,6344,Sycamore Avenue,CV11DY,Next_Day,15/05/2024,15/05/2024,,
OD173,14/05/2024,Processed,Archibold,Pavia,886-815-3559,5590,Bay Road,CV11DL,Standard,15/05/2024,15/05/2024,Deliver to side porch,
OD174,14/05/2024,Processed,Spense,Bilham,509-913-0142,3964,Killdeer Street,CV11ET,Pickup,15/05/2024,15/05/2024,,
OD175,14/05/2024,Cancelled,Porty,Barwise,781-434-0761,8284,Declaration Avenue,CV11DX,Same_day,15/05/2024,15/05/2024,,
OD176,14/05/2024,Cancelled,Kathi,Miles,350-989-5311,7383,Waxwing Street,CV11AJ,Standard,,,,
OD178,14/05/2024,Processed,Sofie,Hakonsen,685-570-4758,5609,Di Avenue,CV11AQ,Same_day,15/05/2024,15/05/2024,Deliver to leasing office,
OD179,15/05/2024,Processed,Bonni,Averies,851-868-6354,1145,Dayton Road,CV11FD,Pickup,16/05/2024,16/05/2024,,
OD181,15/05/2024,Processed,Reidar,Mulvin,504-747-5630,8787,Havey Street,CV11DS,Same_day,,,,
OD182,15/05/2024,Cancelled,Martie,Peasby,738-593-0336,5312,Continental Avenue,CV11DS,Pickup,16/05/2024,16/05/2024,,
OD183,15/05/2024,Cancelled,Renault,Moberley,912-847-2540,1132,Declaration Road,CV11DG,Same_day,16/05/2024,16/05/2024,,
OD184,15/05/2024,Cancelled,Sylas,Wilkie,332-541-7083,4273,Melby Lane,CV17EQ,Standard,,,,
OD186,15/05/2024,Cancelled,Stinky,Probbing,673-803-8258,8879,Glendale Lane,CV11EJ,Next_Day,,,,
OD187,15/05/2024,Processed,Gilbertine,Branwhite,833-983-2875,1257,Knutson Street,CV11DG,Next_Day,16/05/2024,16/05/2024,,
OD190,16/05/2024,Processed,Nikolos,Grunguer,230-142-1376,5037,Morrow Avenue,CV11DG,Standard,17/05/2024,17/05/2024,Leave with security,
OD191,16/05/2024,Cancelled,Clem,Chant,926-841-0408,9617,Mayer Avenue,CV11EA,Standard,17/05/2024,17/05/2024,,
OD192,16/05/2024,Cancelled,Arda,Mearing,496-225-3071,7243,Forest Avenue,CV11DX,Standard,17/05/2024,18/05/2024,,
OD193,17/05/2024,Processed,Biron,Dorton,982-435-9949,8544,Rieder Lane,CV11EE,Scheduled,18/05/2024,18/05/2024,,
OD194,17/05/2024,Processed,Ivett,Duhig,645-947-9455,7589,Vera Avenue,CV11AL,Pickup,,,,
OD195,17/05/2024,Processed,Osborn,Bisco,466-867-2841,6278,Hooker Lane,CV11DS,Same_day,18/05/2024,18/05/2024,Leave with neighbor,
OD196,17/05/2024,Processed,Rice,Duffet,706-343-8866,1084,Prentice Street,CV11EU,Next_Day,18/05/2024,18/05/2024,Leave on the steps,
OD197,18/05/2024,Cancelled,Mischa,Moggle,662-862-0217,5544,Bartelt Road,CV17EQ,Same_day,19/05/2024,19/05/2024,,
OD198,18/05/2024,Cancelled,Eleanor,Filer,538-228-4769,8475,Hagan Avenue,CV11DE,Pickup,19/05/2024,19/05/2024,,
OD199,18/05/2024,Processed,Deonne,Delahunt,211-681-4467,4105,Moulton Street,CV11EA,Standard,19/05/2024,19/05/2024,Deliver to side door,
OD200,18/05/2024,Processed,Ivett,Duhig,645-947-9455,7589,Vera Avenue,CV11AL,Next_Day,19/05/2024,19/05/2024,,
OD201,18/05/2024,Cancelled,Yank,Scutching,255-974-6103,9122,Derek Lane,CV11AP,Scheduled,19/05/2024,19/05/2024,Apartment building: Maplewood Court,
OD202,19/05/2024,Cancelled,Mischa,Moggle,177-257-9150,7176,Granby Lane,CV17EQ,Pickup,20/05/2024,20/05/2024,Apartment floor: 4th,
OD203,19/05/2024,Cancelled,Artemis,Huccaby,539-894-3769,1707,Dryden Avenue,CV11DL,Pickup,20/05/2024,20/05/2024,,
OD204,19/05/2024,Cancelled,Pip,Stanyer,930-424-3643,4725,Redwing Road,CV11EY,Standard,20/05/2024,20/05/2024,,
OD205,19/05/2024,Cancelled,Sigrid,Danzig,592-312-8948,8980,Loomis Avenue,CV11DD,Pickup,20/05/2024,20/05/2024,Deliver to front desk,
OD206,20/05/2024,Cancelled,Moselle,Gemnett,410-339-4542,4556,Declaration Road,CV11DS,Scheduled,,,,
OD207,20/05/2024,Cancelled,Kitti,Timmes,425-437-9357,4256,Bartillon Street,CV11EU,Same_day,21/05/2024,21/05/2024,Leave in front of garage,
OD208,21/05/2024,Processed,Abigail,Sabates,558-961-5774,6712,Nancy Lane,CV11AP,Scheduled,22/05/2024,22/05/2024,,
OD209,21/05/2024,Cancelled,Waldemar,Papaminas,193-719-5263,1936,Cody Road,CV11DS,Same_day,,,,
OD210,22/05/2024,Cancelled,Freeland,Gothard,876-289-1137,1774,Heffernan Lane,CV11AQ,Same_day,23/05/2024,23/05/2024,,
OD211,22/05/2024,Processed,Archibold,Pavia,886-815-3559,5590,Bay Road,CV11DL,Same_day,23/05/2024,23/05/2024,Deliver to loading bay,
OD212,22/05/2024,Cancelled,Sibyl,Wesgate,114-776-8518,2246,8th Road,CV17EQ,Standard,23/05/2024,23/05/2024,,
OD213,23/05/2024,Processed,Reuven,Lindenbaum,610-122-1097,1986,Saint Street,CV11AJ,Standard,24/05/2024,24/05/2024,,
OD214,23/05/2024,Cancelled,Shirlene,Padefield,959-644-3560,8313,Sauthoff Lane,CV11DL,Standard,24/05/2024,24/05/2024,,
OD215,23/05/2024,Cancelled,Barri,Lawlance,290-494-4161,2031,Hanover Avenue,CV11DD,Standard,24/05/2024,24/05/2024,Deliver to suite 301,
OD217,23/05/2024,Cancelled,Lothaire,Sieghart,981-304-9224,2943,Anzinger Avenue,CV11DN,Scheduled,24/05/2024,24/05/2024,Apartment unit: 204,
OD218,23/05/2024,Cancelled,Bartholemy,Curthoys,270-106-4235,6585,3rd Lane,CV11DE,Same_day,24/05/2024,24/05/2024,,
OD219,23/05/2024,Cancelled,Ewart,Brenston,504-968-8448,4991,Macpherson Avenue,CV11AJ,Pickup,24/05/2024,24/05/2024,,
OD221,23/05/2024,Processed,Brendis,Ardron,723-561-8908,5338,Fordem Street,CV11DX,Same_day,24/05/2024,24/05/2024,,
OD222,24/05/2024,Processed,Gaye,Carass,205-321-9960,7807,Grim Road,CV11EA,Scheduled,25/05/2024,25/05/2024,,
OD224,24/05/2024,Processed,Shirlene,Padefield,959-644-3560,8313,Sauthoff Lane,CV11DL,Pickup,25/05/2024,25/05/2024,Leave in garage,
OD225,24/05/2024,Cancelled,York,Garritley,432-525-1704,7434,New Street,CV11FD,Pickup,,,,
OD226,25/05/2024,Processed,Cherilynn,Gower,337-642-1812,8476,Dunning Road,CV11AJ,Scheduled,,,,
OD227,25/05/2024,Processed,Bill,Ewings,117-686-7506,8371,Waywood Lane,CV11EJ,Pickup,26/05/2024,26/05/2024,Package may be left,
OD229,26/05/2024,Processed,Richardo,Bingall,176-349-5328,1300,Hintze Avenue,CV11DG,Same_day,27/05/2024,27/05/2024,Call upon arrival,
OD230,26/05/2024,Processed,Reamonn,Jentle,592-641-1178,8759,Crest Avenue,CV11FJ,Standard,27/05/2024,29/05/2024,,
OD231,26/05/2024,Cancelled,Monica,Brabham,173-864-0677,8146,Pond Street,CV11EE,Scheduled,27/05/2024,27/05/2024,,
