order_id,order_date,order_status,recipient_first_name,recipient_last_name,recipient_phone_number,delivery_address1,delivery_address2,delivery_postcode,delivery_type,expected_delivery_date,delivered_date,delivery_instructions,voucher_id
OD425,15/01/2024,Processed,William,Adams,446-900-0198,9015,Maple Avenue,CV11DE,Standard,15/01/2024,14/01/2024,,
OD430,16/01/2024,Processed,Ruby,Martinez,290-163-0340,9025,Cedar Road,CV11AR,Standard,19/02/2024,19/02/2024,Leave in garage,
OD433,16/01/2024,Processed,Tessa,Harris,809-341-4532,9014,Oak Lane,CV11AN,Scheduled,13/01/2024,13/01/2024,Deliver to service entrance,
OD440,16/01/2024,Processed,Jack,Turner,280-246-9338,5678,Elm Street,CV11AP,Standard,09/03/2024,09/03/2024,Deliver to unit 12B,
OD457,16/01/2024,Cancelled,David,Brown,227-726-2423,5627,Maple Road,CV11EA,Scheduled,04/01/2024,05/01/2024,,
OD459,18/01/2024,Processed,Samuel,Martinez,997-118-3347,5670,Cedar Street,CV11EJ,Standard,13/01/2024,14/01/2024,Package may be left,
OD478,18/01/2024,Cancelled,Bob,Johnson,149-330-4998,4856,Elm Avenue,CV11DF,Scheduled,05/01/2024,05/01/2024,Call upon arrival,
OD481,18/01/2024,Processed,Samuel,Martinez,997-118-3347,5670,Cedar Street,CV11EJ,Next_day,11/01/2024,11/01/2024,Deliver to locker 456,
OD491,18/01/2024,Processed,Isabella,Rodriguez,950-876-7005,1234,Oak Avenue,CV12JE,Standard,07/03/2024,07/03/2024,Leave in mailbox,
OD493,19/01/2024,Processed,Daniel,Harris,257-108-5873,9018,Oak Avenue,CV11EJ,Next_day,21/01/2024,21/01/2024,Leave with front desk,
OD494,20/01/2024,Processed,Stella,Turner,382-273-7280,5683,Elm Avenue,CV11FL,Same_day,18/02/2024,18/02/2024,,
OD502,20/01/2024,Processed,Chloe,Martinez,367-253-1374,5675,Cedar Lane,CV11DY,Standard,20/01/2024,20/01/2024,,V1010
OD508,20/01/2024,Processed,Carol,Lee,436-655-7221,1789,Oak Lane,CV11EU,Next_day,03/02/2024,03/02/2024,,
OD527,22/01/2024,Processed,Liam,Adams,131-468-4575,9022,Birch Street,CV11EU,Scheduled,30/01/2024,30/01/2024,,
OD531,23/01/2024,Processed,Grace,Martin,557-953-5996,5267,Cedar Road,CV17EQ,Pickup,,,,
OD535,23/01/2024,Processed,Patrick,Jollands,142-944-6015,41,Rusk Way,CV65FQ,Scheduled,29/02/2024,01/03/2024,Call upon arrival,
OD557,23/01/2024,Processed,Kayla,Harris,678-201-9690,5679,Elm Avenue,CV11AL,Next_day,28/01/2024,28/01/2024,Leave in courtyard,
OD563,23/01/2024,Processed,Kate,Harris,420-644-5388,9012,Maple Avenue,CV11AJ,Next_day,09/02/2024,09/02/2024,Deliver to carport,
OD568,23/01/2024,Processed,Ursula,Lee,871-608-2104,5684,Maple Road,CV17EQ,Same_day,20/02/2024,20/02/2024,,
OD579,24/01/2024,Processed,Kris,Conwell,213-932-6404,4499,Dakota Drive,CV51HL,Scheduled,07/03/2024,07/03/2024,,
OD588,24/01/2024,Processed,Chloe,Martinez,367-253-1374,5675,Cedar Lane,CV11DY,Next_day,19/01/2024,19/01/2024,Deliver to porch swing,
OD589,25/01/2024,Processed,Henry,Clark,802-401-5491,9020,Cedar Road,CV11AH,Next_day,25/01/2024,25/01/2024,Apartment unit: 3C,
OD600,25/01/2024,Processed,Kate,Harris,420-644-5388,9012,Maple Avenue,CV11AJ,Standard,10/02/2024,10/02/2024,Deliver to dock 7,
OD603,25/01/2024,Processed,Johnette,Parnham,360-685-0731,5355,Norway Maple Point,CV11ET,Standard,01/03/2024,01/03/2024,,
OD605,26/01/2024,Processed,Ursula,Lee,871-608-2104,5684,Maple Road,CV17EQ,Pickup,,,,
OD609,26/01/2024,Processed,Theodore,Adams,537-712-6161,9026,Birch Lane,CV11DY,Next_day,20/02/2024,20/02/2024,Deliver to front office,
OD616,26/01/2024,Processed,Rachel,Lee,972-752-4537,1236,Maple Road,CV12JE,Standard,11/03/2024,11/03/2024,Deliver to loading ramp,
OD625,27/01/2024,Processed,Liam,Adams,131-468-4575,9022,Birch Street,CV11EU,Same_day,29/01/2024,30/01/2024,Leave at the clubhouse,
OD632,27/01/2024,Processed,Abbey,Girton,501-615-4580,7430,Moulton Circle,CV12JE,Same_day,07/01/2024,07/01/2024,,
OD637,27/01/2024,Processed,David,Brown,227-726-2423,5627,Maple Road,CV11EA,Pickup,,,,
OD642,27/01/2024,Processed,Ashbey,Abelson,443-532-3546,78,Nobel Drive,CV30JX,Pickup,,,,V1008
OD661,29/01/2024,Processed,Bob,Johnson,149-330-4998,4856,Elm Avenue,CV11DF,Standard,05/01/2024,05/01/2024,Deliver to reception,
OD665,29/01/2024,Processed,Henry,Clark,830-197-6613,8910,Pine Lane,CV11AN,Scheduled,05/01/2024,05/01/2024,Deliver to security,
OD669,29/01/2024,Processed,Ximena,Lee,418-584-2590,5672,Cedar Road,CV11EX,Same_day,12/02/2024,13/02/2024,Package may be left with neighbor,
OD673,30/01/2024,Processed,Quinn,Adams,363-661-5962,9013,Birch Lane,CV11FL,Standard,11/02/2024,11/02/2024,,
OD688,30/01/2024,Processed,William,Adams,446-900-0198,9015,Maple Avenue,CV11DE,Scheduled,17/02/2024,17/02/2024,,
OD698,13/02/2024,Processed,Druci,Stell,279-749-2076,9854,4th Street,CV21RM,Next_day,26/02/2024,26/02/2024,Deliver to utility room,
OD704,13/02/2024,Processed,Igor,McCue,137-219-2766,0604,Dunning Pass,CV49EA,Pickup,,,,
OD713,14/02/2024,Processed,Quinn,Adams,110-537-3289,5682,Maple Lane,CV11DS,Standard,17/02/2024,15/02/2024,,
OD721,14/02/2024,Processed,Ruby,Martinez,290-163-0340,9025,Cedar Road,CV11AR,Pickup,,,,V1010
OD727,14/02/2024,Processed,Hieronymus,Gautrey,698-957-7244,8059,Dovetail Circle,CV92BB,Scheduled,10/02/2024,10/02/2024,Deliver to rear entrance,
OD735,15/02/2024,Processed,Patrick,Scott,551-538-3992,5679,Oak Avenue,CV11AH,Same_day,08/03/2024,08/03/2024,Apartment complex gate code: 9876,
OD745,15/02/2024,Processed,Benjamin,Lee,964-975-7314,9017,Maple Road,CV17EQ,Next_day,19/01/2024,19/01/2024,,
OD761,16/02/2024,Processed,Grace,Martin,384-612-8021,5677,Maple Avenue,CV11EE,Standard,26/01/2024,27/01/2024,,
OD777,17/02/2024,Processed,Vincent,Martinez,392-707-7936,9027,Cedar Avenue,CV11DD,Standard,25/02/2024,25/02/2024,,
OD781,17/02/2024,Cancelled,Zachary,Turner,444-371-3784,9016,Elm Street,CV11FN,Next_day,17/01/2024,17/01/2024,,
OD784,17/02/2024,Processed,Lacy,Rechert,290-241-7962,748,Village Place,CV90QH,Standard,14/02/2024,14/02/2024,Deliver to utility room,
OD797,18/02/2024,Processed,Rachel,Lee,972-752-4537,1236,Maple Road,CV12JE,Standard,12/03/2024,12/03/2024,,
OD815,18/02/2024,Processed,Zachary,Turner,444-371-3784,9016,Elm Street,CV11FN,Scheduled,16/01/2024,16/01/2024,Leave on doorstep,
OD819,18/02/2024,Processed,Frank,Adams,222-740-7197,2344,Birch Street,CV11AJ,Pickup,,,,
OD820,19/02/2024,Processed,Theodore,Adams,537-712-6161,9026,Birch Lane,CV11DY,Same_day,19/02/2024,19/02/2024,Deliver to patio,
OD822,19/02/2024,Processed,Zachary,Turner,444-371-3784,9016,Elm Street,CV11FN,Standard,16/02/2024,16/02/2024,,
OD834,20/02/2024,Processed,Olivia,Turner,455-640-8117,5681,Elm Street,CV11FE,Pickup,,,,
OD838,21/02/2024,Processed,Samuel,Martinez,997-118-3347,5670,Cedar Street,CV11EJ,Same_day,10/01/2024,11/01/2024,,
OD853,21/02/2024,Processed,Finn,Turner,706-839-7125,9019,Birch Street,CV11AR,Next_day,23/01/2024,23/01/2024,,
OD855,22/02/2024,Processed,Finn,Turner,706-839-7125,9019,Birch Street,CV11AR,Scheduled,26/01/2024,25/01/2024,Do not leave in direct sunlight,
OD878,22/02/2024,Cancelled,Grace,Martin,384-612-8021,5677,Maple Avenue,CV11EE,Next_day,24/01/2024,24/01/2024,Deliver to storage room,V1008
OD888,22/02/2024,Processed,Jacob,Martinez,669-312-6285,9021,Cedar Lane,CV11DF,Next_day,27/01/2024,27/01/2024,Deliver to carport B,
OD889,23/02/2024,Processed,Ava,Adams,814-976-5334,5674,Birch Avenue,CV11EU,Standard,19/01/2024,20/01/2024,Do not deliver before 9 AM,
OD891,23/02/2024,Processed,Parker,Adams,283-973-1797,9024,Birch Avenue,CV11DX,Standard,03/02/2024,03/02/2024,Apartment unit: 301B,
OD899,24/02/2024,Processed,Xavier,Rodriguez,259-573-8086,9028,Elm Street,CV11EE,Pickup,,,,
OD902,24/02/2024,Processed,Rachel,Lee,972-752-4537,1236,Maple Road,CV12JE,Standard,11/03/2024,12/03/2024,Deliver to shed,
OD905,24/02/2024,Processed,Bob,Johnson,149-330-4998,4856,Elm Avenue,CV11DF,Standard,04/01/2024,05/01/2024,Do not knock,
OD914,25/02/2024,Cancelled,Mia,Lee,473-480-3835,5680,Maple Road,CV11AH,Scheduled,01/02/2024,01/02/2024,Deliver to mail center,
OD916,25/02/2024,Processed,Ulysses,Rodriguez,313-383-7195,1237,Elm Avenue,CV11DF,Same_day,11/01/2024,11/01/2024,,
OD922,25/02/2024,Processed,Kayla,Harris,678-201-9690,5679,Elm Avenue,CV11AL,Pickup,,,,
OD927,26/02/2024,Processed,Grace,Martin,557-953-5996,5267,Cedar Road,CV17EQ,Standard,06/03/2024,09/03/2024,,
OD930,26/02/2024,Processed,Willow,Harris,471-944-1604,5685,Oak Lane,CV11EJ,Next_day,25/02/2024,26/02/2024,,V1002
OD939,26/02/2024,Processed,Ursula,Lee,871-608-2104,5684,Maple Road,CV17EQ,Pickup,,,,
OD944,26/02/2024,Processed,Garik,Lathaye,769-552-0792,638,Hermina Parkway,CV91WO,Next_day,24/01/2024,25/01/2024,,
OD946,27/02/2024,Processed,Nanny,Peile,609-989-4163,723,Lawn Crossing,CV41UW,Scheduled,18/02/2024,18/02/2024,Apartment building: Cedar Ridge,
OD960,27/02/2024,Processed,Willow,Harris,471-944-1604,5685,Oak Lane,CV11EJ,Standard,26/02/2024,26/02/2024,Deliver to side entrance,
OD972,28/02/2024,Cancelled,Yara,Turner,227-718-9960,5686,Birch Road,CV17EQ,Standard,28/02/2024,28/02/2024,,V1010
OD984,28/02/2024,Processed,Liam,Adams,131-468-4575,9022,Birch Street,CV11EU,Pickup,,,,
OD994,2024/2/29,Processed,Alexis,Cuphus,679-103-8009,4300,Melrose Alley,CV82MA,Same_day,2024/2/21,2024/2/21,,
