customer_id,customer_first_name,customer_last_name,customer_gender,customer_date_of_birth,customer_address1,customer_address2,customer_postcode,customer_phone_number,customer_email,customer_password
C028,Ella,Rodriguez,Female,07/07/1999,5676,Elm Road,CV11DG,601-666-6849,ella.rodriguez@gmail.com,rG0@&tk6X31i
C029,Finn,Turner,Male,30/03/1981,9019,Birch Street,CV11AR,706-839-7125,finn.turner@yahoo.com,"xK2`}i)?9q#CQ10"""
C030,Grace,Adams,Female,12/12/1996,5677,Maple Avenue,CV11EE,384-612-8021,grace.adams@hotmail.com,oX2=#B!xV
C031,Henry,Lee,Male,11/04/1984,9020,Cedar Road,CV11AH,802-401-5491,henry.lee@gmail.com,uY9~n>Xfu2
C032,Isla,Scott,Female,28/08/1993,5678,Oak Road,CV11EE,881-709-2319,isla.scott@yahoo.com,"kE0`_g,5Xp,.1"
C033,Jacob,Martinez,Male,17/05/1982,9021,Cedar Lane,CV11DF,669-312-6285,jacob.martinez@hotmail.com,wB9@xTzN!Ss#B4l
C034,Kayla,Harris,Female,02/09/1997,5679,Elm Avenue,CV11AL,678-201-9690,kayla.harris@gmail.com,"pH0!|`f>""rUM~"
C035,Liam,Adams,Male,09/03/1989,9022,Birch Street,CV11EU,131-468-4575,liam.adams@yahoo.com,"wX7*%,!WZ|$"
C036,Mia,Lee,Female,26/04/1994,5680,Maple Road,CV11AH,473-480-3835,mia.lee@hotmail.com,qE3.dX~A/5ZE
C037,Noah,Rodriguez,Male,01/11/1983,9023,Oak Lane,CV11EJ,636-777-6769,noah.rodriguez@gmail.com,hF8(LI`i)?f
C038,Olivia,Turner,Female,10/04/1990,5681,Elm Street,CV11FE,455-640-8117,olivia.turner@yahoo.com,"bH2|q""<Z6"
C039,Parker,Adams,Male,27/07/1985,9024,Birch Avenue,CV11DX,283-973-1797,parker.adams@hotmail.com,"rN9,ewQjjGa@"
C040,Quinn,Lee,Non-binary,14/06/1995,5682,Maple Lane,CV11DS,110-537-3289,quinn.lee@gmail.com,aC5=>g>Z
C041,Ruby,Martinez,Female,03/07/1981,9025,Cedar Road,CV11AR,290-163-0340,ruby.martinez@yahoo.com,iE2>Bh6d
C042,Stella,Turner,Female,02/12/1993,5683,Elm Avenue,CV11FL,382-273-7280,stella.turner@hotmail.com,"gS8+f""(p,*gW0nHH"
C043,Theodore,Adams,Male,29/09/1982,9026,Birch Lane,CV11DY,537-712-6161,theodore.adams@gmail.com,iP1_E*/nt
C044,Ursula,Lee,Female,18/06/1997,5684,Maple Road,CV17EQ,871-608-2104,ursula.lee@yahoo.com,lG5.#SVF
C045,Vincent,Martinez,Male,03/07/1989,9027,Cedar Avenue,CV11DD,392-707-7936,vincent.martinez@hotmail.com,nZ6&1Cq=5xbez46
C046,Willow,Harris,Female,20/12/1994,5685,Oak Lane,CV11EJ,471-944-1604,willow.harris@gmail.com,yT3=0#v`*oud0Q
C047,Xavier,Rodriguez,Male,11/11/1983,9028,Elm Street,CV11EE,259-573-8086,xavier.rodriguez@yahoo.com,xE0@*BWa@NPk
C048,Yara,Turner,Female,10/02/1990,5686,Birch Road,CV17EQ,227-718-9960,yara.turner@hotmail.com,lF9<}&t5
C049,Zachariah,Adams,Male,15/07/1985,9029,Maple Lane,CV11FD,775-810-8347,zachariah.adams@gmail.com,"iC0(NxdT5""t4JR"
C050,Johnette,Parnham,Female,06/02/1986,5355,Norway Maple Point,CV11ET,360-685-0731,jparnham3d@gmail.com,"zR7.,sc7jVRj~"
